Month,City,Company,Total Monthly Hours
January,Faridabad,Orient Green,502.4
September,Faridabad,Reliance Energy,680.4
April,Faridabad,Orient Green,843.0
April,Faridabad,Indowind Energy,859.5
December,Faridabad,Reliance Energy,361.6
August,Faridabad,Orient Green,450.0
April,Faridabad,Adani Power Ltd.,931.5
January,Faridabad,Adani Power Ltd.,473.6
April,Faridabad,Indowind Energy,885.0
February,Faridabad,Indowind Energy,325.6
June,Faridabad,Tata Power Company Ltd.,1533.0
June,Faridabad,Adani Power Ltd.,957.0
July,Faridabad,Reliance Energy,1425.0
November,Faridabad,Adani Power Ltd.,394.4
December,Faridabad,Reliance Energy,583.2
November,Faridabad,Orient Green,440.8
November,Faridabad,Adani Power Ltd.,279.2
December,Faridabad,Orient Green,378.4
October,Faridabad,Indowind Energy,587.0
February,Faridabad,Indowind Energy,505.6
November,Faridabad,Tata Power Company Ltd.,404.8
June,Faridabad,Adani Power Ltd.,1902.0
October,Faridabad,Reliance Energy,742.0
December,Faridabad,Indowind Energy,396.0
May,Faridabad,Orient Green,1280.0
September,Faridabad,Reliance Energy,675.6
November,Faridabad,Adani Power Ltd.,1073.6
August,Faridabad,Orient Green,2217.0
December,Faridabad,Tata Power Company Ltd.,734.4
January,Faridabad,Indowind Energy,630.4
September,Faridabad,Reliance Energy,1324.8
October,Faridabad,Tata Power Company Ltd.,806.0
December,Faridabad,Orient Green,723.2
April,Faridabad,Reliance Energy,1524.0
November,Faridabad,Orient Green,918.4
May,Faridabad,Adani Power Ltd.,1260.0
May,Faridabad,Tata Power Company Ltd.,1144.0
February,Faridabad,Indowind Energy,828.8
April,Faridabad,Orient Green,1461.0
September,Faridabad,Reliance Energy,1425.6
May,Faridabad,Tata Power Company Ltd.,1572.0
March,Faridabad,Orient Green,902.0
February,Faridabad,Orient Green,595.2
September,Faridabad,Reliance Energy,1293.6
October,Faridabad,Indowind Energy,1204.0
June,Faridabad,Tata Power Company Ltd.,3360.0
February,Faridabad,Reliance Energy,408.0
October,Faridabad,Indowind Energy,1310.0
November,Faridabad,Reliance Energy,825.6
February,Faridabad,Reliance Energy,1024.0
May,Faridabad,Adani Power Ltd.,2280.0
June,Faridabad,Tata Power Company Ltd.,2886.0
January,Faridabad,Reliance Energy,899.2
May,Faridabad,Tata Power Company Ltd.,2928.0
November,Faridabad,Tata Power Company Ltd.,950.4
June,Faridabad,Orient Green,3330.0
March,Faridabad,Indowind Energy,758.0
June,Faridabad,Reliance Energy,3024.0
February,Faridabad,Tata Power Company Ltd.,859.2
November,Faridabad,Tata Power Company Ltd.,1011.2
August,Faridabad,Reliance Energy,1674.0
July,Faridabad,Adani Power Ltd.,3684.0
April,Faridabad,Reliance Energy,1413.0
August,Faridabad,Indowind Energy,1062.0
March,Faridabad,Adani Power Ltd.,742.0
August,Faridabad,Tata Power Company Ltd.,2226.0
August,Faridabad,Adani Power Ltd.,1437.0
November,Faridabad,Indowind Energy,1008.0
April,Faridabad,Indowind Energy,2016.0
April,Faridabad,Indowind Energy,1500.0
June,Faridabad,Indowind Energy,2490.0
March,Faridabad,Indowind Energy,858.0
January,Faridabad,Adani Power Ltd.,984.0
August,Faridabad,Orient Green,1068.0
October,Faridabad,Tata Power Company Ltd.,748.0
July,Faridabad,Tata Power Company Ltd.,3270.0
March,Faridabad,Orient Green,814.0
December,Faridabad,Reliance Energy,611.2
August,Faridabad,Indowind Energy,1638.0
March,Faridabad,Reliance Energy,1052.0
January,Faridabad,Reliance Energy,1179.2
March,Faridabad,Adani Power Ltd.,878.0
September,Faridabad,Reliance Energy,1620.0
February,Faridabad,Reliance Energy,299.2
May,Faridabad,Tata Power Company Ltd.,1804.0
November,Faridabad,Adani Power Ltd.,804.8
June,Faridabad,Indowind Energy,3714.0
January,Faridabad,Orient Green,614.4
December,Faridabad,Tata Power Company Ltd.,408.0
May,Faridabad,Orient Green,2164.0
August,Faridabad,Reliance Energy,1437.0
May,Faridabad,Adani Power Ltd.,2820.0
October,Faridabad,Indowind Energy,1056.0
June,Faridabad,Reliance Energy,2814.0
April,Faridabad,Indowind Energy,1326.0
January,Faridabad,Adani Power Ltd.,796.8
March,Faridabad,Orient Green,1132.0
November,Faridabad,Tata Power Company Ltd.,742.4
May,Faridabad,Adani Power Ltd.,2032.0
September,Faridabad,Indowind Energy,1008.0
February,Faridabad,Adani Power Ltd.,616.0
August,Faridabad,Reliance Energy,1428.0
March,Faridabad,Indowind Energy,1124.0
July,Faridabad,Reliance Energy,3594.0
January,Faridabad,Indowind Energy,707.2
May,Faridabad,Tata Power Company Ltd.,1812.0
January,Faridabad,Indowind Energy,1068.8
December,Faridabad,Tata Power Company Ltd.,1056.0
February,Faridabad,Orient Green,649.6
June,Faridabad,Indowind Energy,3324.0
November,Faridabad,Reliance Energy,764.8
February,Faridabad,Reliance Energy,985.6
December,Faridabad,Indowind Energy,787.2
July,Faridabad,Tata Power Company Ltd.,2946.0
July,Faridabad,Adani Power Ltd.,4140.0
October,Faridabad,Reliance Energy,1298.0
September,Faridabad,Tata Power Company Ltd.,1056.0
June,Faridabad,Tata Power Company Ltd.,3990.0
October,Faridabad,Orient Green,1018.0
March,Faridabad,Indowind Energy,1720.0
June,Faridabad,Orient Green,2580.0
April,Faridabad,Adani Power Ltd.,1347.0
December,Faridabad,Indowind Energy,768.0
April,Faridabad,Tata Power Company Ltd.,1263.0
August,Faridabad,Adani Power Ltd.,1287.0
July,Faridabad,Indowind Energy,3204.0
August,Faridabad,Adani Power Ltd.,1590.0
September,Faridabad,Tata Power Company Ltd.,1680.0
July,Faridabad,Tata Power Company Ltd.,4596.0
January,Faridabad,Tata Power Company Ltd.,488.0
November,Faridabad,Indowind Energy,550.4
December,Faridabad,Adani Power Ltd.,345.6
September,Faridabad,Reliance Energy,1624.8
August,Faridabad,Orient Green,1260.0
October,Faridabad,Tata Power Company Ltd.,1192.0
August,Faridabad,Tata Power Company Ltd.,1659.0
October,Faridabad,Orient Green,876.0
October,Faridabad,Reliance Energy,986.0
February,Faridabad,Orient Green,875.2
November,Faridabad,Tata Power Company Ltd.,686.4
September,Faridabad,Tata Power Company Ltd.,1684.8
July,Faridabad,Tata Power Company Ltd.,2628.0
December,Faridabad,Indowind Energy,1209.6
April,Faridabad,Orient Green,909.0
October,Faridabad,Indowind Energy,1388.0
December,Faridabad,Tata Power Company Ltd.,948.8
July,Faridabad,Tata Power Company Ltd.,4278.0
January,Faridabad,Adani Power Ltd.,844.8
November,Faridabad,Orient Green,1011.2
April,Faridabad,Orient Green,1419.0
June,Faridabad,Adani Power Ltd.,2292.0
August,Faridabad,Indowind Energy,1977.0
April,Faridabad,Reliance Energy,1653.0
August,Faridabad,Indowind Energy,1452.0
February,Faridabad,Orient Green,1209.6
March,Faridabad,Reliance Energy,850.0
April,Faridabad,Indowind Energy,774.0
December,Faridabad,Indowind Energy,900.8
November,Faridabad,Adani Power Ltd.,852.8
February,Faridabad,Indowind Energy,1001.6
October,Faridabad,Orient Green,974.0
May,Faridabad,Indowind Energy,2048.0
April,Faridabad,Reliance Energy,1338.0
August,Faridabad,Orient Green,2037.0
October,Faridabad,Adani Power Ltd.,1230.0
May,Faridabad,Tata Power Company Ltd.,2068.0
September,Faridabad,Tata Power Company Ltd.,811.2
May,Faridabad,Adani Power Ltd.,2924.0
July,Faridabad,Orient Green,3936.0
June,Faridabad,Orient Green,3342.0
November,Faridabad,Indowind Energy,756.8
September,Faridabad,Tata Power Company Ltd.,1375.2
January,Faridabad,Orient Green,521.6
August,Faridabad,Orient Green,1443.0
May,Faridabad,Indowind Energy,1940.0
August,Faridabad,Adani Power Ltd.,1590.0
July,Faridabad,Reliance Energy,3426.0
January,Faridabad,Orient Green,912.0
February,Faridabad,Orient Green,654.4
January,Faridabad,Indowind Energy,854.4
June,Faridabad,Reliance Energy,3066.0
November,Faridabad,Orient Green,817.6
March,Faridabad,Tata Power Company Ltd.,718.0
August,Faridabad,Adani Power Ltd.,1545.0
August,Faridabad,Adani Power Ltd.,1380.0
January,Faridabad,Reliance Energy,707.2
December,Faridabad,Indowind Energy,844.8
July,Faridabad,Tata Power Company Ltd.,3390.0
December,Faridabad,Orient Green,886.4
January,Faridabad,Orient Green,881.6
March,Faridabad,Tata Power Company Ltd.,1070.0
April,Faridabad,Indowind Energy,2244.0
April,Faridabad,Indowind Energy,1434.0
March,Faridabad,Indowind Energy,790.0
December,Faridabad,Indowind Energy,939.2
May,Faridabad,Adani Power Ltd.,3532.0
October,Faridabad,Indowind Energy,642.0
April,Faridabad,Tata Power Company Ltd.,1260.0
March,Faridabad,Orient Green,1274.0
January,Faridabad,Indowind Energy,876.8
April,Faridabad,Orient Green,1488.0
May,Faridabad,Tata Power Company Ltd.,2532.0
July,Faridabad,Indowind Energy,3510.0
July,Faridabad,Reliance Energy,4236.0
April,Faridabad,Reliance Energy,771.0
February,Faridabad,Orient Green,980.8
September,Faridabad,Indowind Energy,1190.4
March,Faridabad,Reliance Energy,1136.0
March,Faridabad,Reliance Energy,810.0
April,Faridabad,Adani Power Ltd.,939.0
October,Faridabad,Tata Power Company Ltd.,1220.0
May,Faridabad,Tata Power Company Ltd.,2212.0
October,Faridabad,Reliance Energy,822.0
October,Faridabad,Orient Green,928.0
November,Faridabad,Indowind Energy,820.8
January,Faridabad,Indowind Energy,998.4
July,Faridabad,Indowind Energy,2802.0
June,Faridabad,Tata Power Company Ltd.,3816.0
December,Faridabad,Adani Power Ltd.,500.8
December,Faridabad,Tata Power Company Ltd.,1124.8
June,Faridabad,Reliance Energy,3426.0
May,Faridabad,Tata Power Company Ltd.,2028.0
July,Faridabad,Indowind Energy,3810.0
January,Faridabad,Reliance Energy,704.0
January,Faridabad,Indowind Energy,809.6
January,Faridabad,Reliance Energy,484.8
November,Faridabad,Reliance Energy,590.4
February,Faridabad,Adani Power Ltd.,926.4
November,Faridabad,Reliance Energy,641.6
November,Faridabad,Orient Green,800.0
November,Faridabad,Orient Green,664.0
March,Faridabad,Reliance Energy,1092.0
January,Faridabad,Reliance Energy,640.0
February,Faridabad,Tata Power Company Ltd.,774.4
April,Faridabad,Tata Power Company Ltd.,2223.0
September,Faridabad,Orient Green,1296.0
January,Faridabad,Adani Power Ltd.,804.8
October,Faridabad,Adani Power Ltd.,1494.0
March,Faridabad,Orient Green,1224.0
June,Faridabad,Orient Green,1596.0
April,Faridabad,Indowind Energy,1851.0
April,Faridabad,Reliance Energy,1605.0
July,Faridabad,Orient Green,3138.0
February,Faridabad,Indowind Energy,915.2
March,Faridabad,Orient Green,1152.0
May,Faridabad,Tata Power Company Ltd.,2192.0
October,Faridabad,Tata Power Company Ltd.,780.0
April,Faridabad,Tata Power Company Ltd.,1353.0
June,Faridabad,Orient Green,1752.0
October,Faridabad,Adani Power Ltd.,660.0
February,Faridabad,Orient Green,745.6
November,Faridabad,Tata Power Company Ltd.,689.6
November,Faridabad,Tata Power Company Ltd.,1033.6
October,Faridabad,Tata Power Company Ltd.,984.0
May,Faridabad,Indowind Energy,1652.0
September,Faridabad,Indowind Energy,1106.4
April,Faridabad,Orient Green,1986.0
April,Faridabad,Indowind Energy,1431.0
January,Faridabad,Orient Green,947.2
January,Faridabad,Reliance Energy,832.0
January,Faridabad,Orient Green,924.8
August,Faridabad,Indowind Energy,1401.0
June,Faridabad,Orient Green,2520.0
March,Faridabad,Orient Green,1126.0
July,Faridabad,Reliance Energy,2970.0
November,Faridabad,Orient Green,734.4
September,Faridabad,Orient Green,1308.0
July,Faridabad,Tata Power Company Ltd.,4032.0
November,Faridabad,Indowind Energy,648.0
August,Faridabad,Reliance Energy,1104.0
September,Faridabad,Orient Green,619.2
February,Faridabad,Tata Power Company Ltd.,532.8
April,Faridabad,Indowind Energy,1278.0
February,Faridabad,Indowind Energy,1145.6
August,Faridabad,Indowind Energy,1185.0
June,Faridabad,Reliance Energy,2202.0
January,Faridabad,Tata Power Company Ltd.,459.2
February,Faridabad,Orient Green,734.4
March,Faridabad,Reliance Energy,1034.0
February,Faridabad,Orient Green,900.8
October,Faridabad,Tata Power Company Ltd.,966.0
November,Faridabad,Indowind Energy,905.6
February,Faridabad,Tata Power Company Ltd.,515.2
January,Faridabad,Reliance Energy,848.0
January,Faridabad,Reliance Energy,417.6
May,Faridabad,Adani Power Ltd.,1312.0
September,Faridabad,Adani Power Ltd.,1528.8
May,Faridabad,Adani Power Ltd.,1616.0
December,Faridabad,Indowind Energy,865.6
November,Faridabad,Adani Power Ltd.,1128.0
December,Faridabad,Adani Power Ltd.,734.4
November,Faridabad,Adani Power Ltd.,628.8
July,Faridabad,Tata Power Company Ltd.,3654.0
September,Faridabad,Orient Green,1147.2
August,Faridabad,Tata Power Company Ltd.,1389.0
October,Faridabad,Tata Power Company Ltd.,950.0
August,Faridabad,Orient Green,1404.0
April,Faridabad,Orient Green,1299.0
September,Faridabad,Tata Power Company Ltd.,921.6
March,Faridabad,Adani Power Ltd.,1468.0
August,Faridabad,Indowind Energy,1635.0
November,Faridabad,Adani Power Ltd.,694.4
March,Faridabad,Tata Power Company Ltd.,1228.0
September,Faridabad,Orient Green,1012.8
September,Faridabad,Adani Power Ltd.,1701.6
May,Faridabad,Tata Power Company Ltd.,2556.0
October,Faridabad,Adani Power Ltd.,1082.0
September,Faridabad,Adani Power Ltd.,948.0
November,Faridabad,Reliance Energy,659.2
May,Faridabad,Indowind Energy,1728.0
June,Faridabad,Indowind Energy,4266.0
May,Faridabad,Indowind Energy,1972.0
February,Faridabad,Indowind Energy,644.8
September,Faridabad,Orient Green,1742.4
August,Faridabad,Orient Green,1302.0
November,Faridabad,Orient Green,628.8
March,Faridabad,Reliance Energy,982.0
September,Faridabad,Reliance Energy,1024.8
March,Faridabad,Adani Power Ltd.,1236.0
October,Faridabad,Tata Power Company Ltd.,1108.0
October,Faridabad,Reliance Energy,700.0
June,Gurgaon,Indowind Energy,1184.7
November,Gurgaon,Adani Power Ltd.,463.76
August,Gurgaon,Reliance Energy,927.3
September,Gurgaon,Tata Power Company Ltd.,574.2
May,Gurgaon,Orient Green,1456.4
May,Gurgaon,Adani Power Ltd.,1064.8
August,Gurgaon,Orient Green,587.4
December,Gurgaon,Indowind Energy,374.0
April,Gurgaon,Tata Power Company Ltd.,790.35
November,Gurgaon,Indowind Energy,517.44
November,Gurgaon,Tata Power Company Ltd.,409.2
July,Gurgaon,Orient Green,1970.1
June,Gurgaon,Tata Power Company Ltd.,1491.6
September,Gurgaon,Orient Green,863.28
January,Gurgaon,Tata Power Company Ltd.,538.56
July,Gurgaon,Reliance Energy,2039.4
July,Gurgaon,Orient Green,1815.0
May,Gurgaon,Indowind Energy,1194.6
November,Gurgaon,Orient Green,238.48
July,Gurgaon,Adani Power Ltd.,1148.4
June,Gurgaon,Indowind Energy,1920.6
March,Gurgaon,Adani Power Ltd.,561.0
May,Gurgaon,Adani Power Ltd.,1471.8
May,Gurgaon,Orient Green,1238.6
July,Gurgaon,Orient Green,1712.7
May,Gurgaon,Indowind Energy,682.0
June,Gurgaon,Reliance Energy,2016.3
June,Gurgaon,Orient Green,1689.6
June,Gurgaon,Tata Power Company Ltd.,1788.6
December,Gurgaon,Adani Power Ltd.,332.64
December,Gurgaon,Reliance Energy,522.72
December,Gurgaon,Reliance Energy,475.2
July,Gurgaon,Adani Power Ltd.,1445.4
June,Gurgaon,Indowind Energy,1155.0
July,Gurgaon,Reliance Energy,1577.4
November,Gurgaon,Adani Power Ltd.,367.84
August,Gurgaon,Orient Green,836.55
February,Gurgaon,Orient Green,444.4
May,Gurgaon,Indowind Energy,937.2
August,Gurgaon,Reliance Energy,1054.35
January,Gurgaon,Reliance Energy,507.76
March,Gurgaon,Reliance Energy,533.5
November,Gurgaon,Tata Power Company Ltd.,308.0
April,Gurgaon,Tata Power Company Ltd.,584.1
September,Gurgaon,Reliance Energy,807.84
September,Gurgaon,Adani Power Ltd.,443.52
August,Gurgaon,Orient Green,932.25
January,Gurgaon,Reliance Energy,546.48
February,Gurgaon,Adani Power Ltd.,548.24
May,Gurgaon,Orient Green,1238.6
November,Gurgaon,Orient Green,602.8
March,Gurgaon,Tata Power Company Ltd.,734.8
June,Gurgaon,Reliance Energy,1999.8
April,Gurgaon,Orient Green,574.2
November,Gurgaon,Adani Power Ltd.,292.16
February,Gurgaon,Orient Green,386.32
June,Gurgaon,Adani Power Ltd.,1481.7
December,Gurgaon,Adani Power Ltd.,389.84
August,Gurgaon,Indowind Energy,1791.9
September,Gurgaon,Tata Power Company Ltd.,542.52
May,Gurgaon,Indowind Energy,1258.4
April,Gurgaon,Reliance Energy,1062.6
August,Gurgaon,Reliance Energy,917.4
March,Gurgaon,Tata Power Company Ltd.,477.4
April,Gurgaon,Tata Power Company Ltd.,877.8
April,Gurgaon,Orient Green,556.05
December,Gurgaon,Adani Power Ltd.,400.4
March,Gurgaon,Orient Green,700.7
September,Gurgaon,Reliance Energy,679.8
July,Gurgaon,Adani Power Ltd.,1254.0
March,Gurgaon,Adani Power Ltd.,541.2
June,Gurgaon,Adani Power Ltd.,1722.6
December,Gurgaon,Orient Green,586.08
October,Gurgaon,Tata Power Company Ltd.,684.2
July,Gurgaon,Orient Green,1683.0
May,Gurgaon,Adani Power Ltd.,662.2
October,Gurgaon,Indowind Energy,723.8
April,Gurgaon,Orient Green,1105.5
February,Gurgaon,Tata Power Company Ltd.,494.56
January,Gurgaon,Tata Power Company Ltd.,550.88
February,Gurgaon,Indowind Energy,438.24
June,Gurgaon,Reliance Energy,1346.4
September,Gurgaon,Indowind Energy,601.92
May,Gurgaon,Orient Green,1053.8
February,Gurgaon,Orient Green,388.96
September,Gurgaon,Orient Green,682.44
November,Gurgaon,Indowind Energy,340.56
April,Gurgaon,Tata Power Company Ltd.,928.95
January,Gurgaon,Reliance Energy,538.56
June,Gurgaon,Tata Power Company Ltd.,1798.5
June,Gurgaon,Indowind Energy,1158.3
November,Gurgaon,Reliance Energy,506.88
October,Gurgaon,Reliance Energy,547.8
August,Gurgaon,Indowind Energy,1496.55
June,Gurgaon,Adani Power Ltd.,2115.3
November,Gurgaon,Indowind Energy,506.88
May,Gurgaon,Tata Power Company Ltd.,1438.8
July,Gurgaon,Adani Power Ltd.,1392.6
January,Gurgaon,Indowind Energy,648.56
April,Gurgaon,Orient Green,633.6
April,Gurgaon,Orient Green,765.6
October,Gurgaon,Reliance Energy,485.1
May,Gurgaon,Orient Green,1537.8
September,Gurgaon,Reliance Energy,950.4
October,Gurgaon,Reliance Energy,625.9
August,Gurgaon,Tata Power Company Ltd.,985.05
July,Gurgaon,Orient Green,2841.3
January,Gurgaon,Reliance Energy,475.2
March,Gurgaon,Reliance Energy,699.6
March,Gurgaon,Orient Green,431.2
September,Gurgaon,Adani Power Ltd.,887.04
December,Gurgaon,Reliance Energy,187.44
January,Gurgaon,Tata Power Company Ltd.,471.68
August,Gurgaon,Reliance Energy,1184.7
January,Gurgaon,Orient Green,527.12
June,Gurgaon,Reliance Energy,1310.1
April,Gurgaon,Indowind Energy,699.6
March,Gurgaon,Reliance Energy,325.6
June,Gurgaon,Indowind Energy,488.4
April,Gurgaon,Reliance Energy,574.2
November,Gurgaon,Indowind Energy,221.76
March,Gurgaon,Reliance Energy,537.9
April,Gurgaon,Indowind Energy,882.75
May,Gurgaon,Reliance Energy,3075.6
October,Gurgaon,Adani Power Ltd.,679.8
November,Gurgaon,Adani Power Ltd.,484.88
April,Gurgaon,Adani Power Ltd.,691.35
October,Gurgaon,Tata Power Company Ltd.,487.3
June,Gurgaon,Indowind Energy,1828.2
April,Gurgaon,Adani Power Ltd.,1047.75
March,Gurgaon,Reliance Energy,628.1
November,Gurgaon,Reliance Energy,382.8
September,Gurgaon,Indowind Energy,797.28
October,Gurgaon,Indowind Energy,463.1
September,Gurgaon,Reliance Energy,782.76
January,Gurgaon,Reliance Energy,532.4
July,Gurgaon,Tata Power Company Ltd.,1310.1
November,Gurgaon,Adani Power Ltd.,271.92
November,Gurgaon,Adani Power Ltd.,567.6
December,Gurgaon,Tata Power Company Ltd.,334.4
February,Gurgaon,Reliance Energy,560.56
February,Gurgaon,Reliance Energy,430.32
January,Gurgaon,Indowind Energy,1321.76
March,Gurgaon,Tata Power Company Ltd.,1168.2
February,Gurgaon,Reliance Energy,719.84
May,Gurgaon,Tata Power Company Ltd.,3062.4
April,Gurgaon,Indowind Energy,1844.7
June,Gurgaon,Reliance Energy,4151.4
October,Gurgaon,Orient Green,1135.2
July,Gurgaon,Reliance Energy,3484.8
April,Gurgaon,Adani Power Ltd.,1874.4
March,Gurgaon,Tata Power Company Ltd.,794.2
April,Gurgaon,Tata Power Company Ltd.,1527.9
March,Gurgaon,Orient Green,1709.4
April,Gurgaon,Indowind Energy,1735.8
March,Gurgaon,Indowind Energy,946.0
July,Gurgaon,Orient Green,4098.6
November,Gurgaon,Reliance Energy,663.52
October,Gurgaon,Reliance Energy,1309.0
August,Gurgaon,Reliance Energy,1996.5
December,Gurgaon,Reliance Energy,728.64
August,Gurgaon,Indowind Energy,1755.6
July,Gurgaon,Reliance Energy,4230.6
July,Gurgaon,Tata Power Company Ltd.,3603.6
May,Gurgaon,Adani Power Ltd.,2406.8
March,Gurgaon,Tata Power Company Ltd.,1333.2
May,Gurgaon,Reliance Energy,1914.0
January,Gurgaon,Orient Green,466.4
January,Gurgaon,Orient Green,924.0
March,Gurgaon,Tata Power Company Ltd.,882.2
July,Gurgaon,Tata Power Company Ltd.,3847.8
August,Gurgaon,Indowind Energy,2795.1
January,Gurgaon,Adani Power Ltd.,700.48
November,Gurgaon,Indowind Energy,1420.32
September,Gurgaon,Adani Power Ltd.,1689.6
November,Gurgaon,Tata Power Company Ltd.,1320.0
October,Gurgaon,Reliance Energy,1005.4
December,Gurgaon,Orient Green,469.92
March,Gurgaon,Orient Green,950.4
November,Gurgaon,Adani Power Ltd.,851.84
January,Gurgaon,Reliance Energy,1031.36
July,Gurgaon,Indowind Energy,2455.2
February,Gurgaon,Indowind Energy,763.84
October,Gurgaon,Reliance Energy,1364.0
August,Gurgaon,Indowind Energy,1884.3
August,Gurgaon,Reliance Energy,1184.7
January,Gurgaon,Indowind Energy,1119.36
March,Gurgaon,Reliance Energy,1056.0
March,Gurgaon,Indowind Energy,1718.2
December,Gurgaon,Indowind Energy,637.12
August,Gurgaon,Reliance Energy,2046.0
January,Gurgaon,Tata Power Company Ltd.,853.6
May,Gurgaon,Adani Power Ltd.,2838.0
July,Gurgaon,Tata Power Company Ltd.,5346.0
February,Gurgaon,Adani Power Ltd.,820.16
May,Gurgaon,Orient Green,2547.6
November,Gurgaon,Indowind Energy,1063.04
September,Gurgaon,Adani Power Ltd.,1238.16
February,Gurgaon,Adani Power Ltd.,821.92
December,Gurgaon,Indowind Energy,751.52
May,Gurgaon,Orient Green,1909.6
September,Gurgaon,Orient Green,1391.28
August,Gurgaon,Tata Power Company Ltd.,2392.5
March,Gurgaon,Adani Power Ltd.,1245.2
February,Gurgaon,Reliance Energy,934.56
December,Gurgaon,Orient Green,644.16
September,Gurgaon,Adani Power Ltd.,1399.2
July,Gurgaon,Adani Power Ltd.,4626.6
August,Gurgaon,Tata Power Company Ltd.,1379.4
November,Gurgaon,Indowind Energy,841.28
October,Gurgaon,Tata Power Company Ltd.,772.2
March,Gurgaon,Indowind Energy,1452.0
July,Gurgaon,Tata Power Company Ltd.,4785.0
November,Gurgaon,Indowind Energy,1207.36
December,Gurgaon,Orient Green,913.44
June,Gurgaon,Adani Power Ltd.,2871.0
December,Gurgaon,Orient Green,696.96
July,Gurgaon,Reliance Energy,3313.2
July,Gurgaon,Indowind Energy,3247.2
September,Gurgaon,Orient Green,1127.28
May,Gurgaon,Orient Green,3198.8
June,Gurgaon,Reliance Energy,2204.4
May,Gurgaon,Tata Power Company Ltd.,2455.2
October,Gurgaon,Reliance Energy,1452.0
September,Gurgaon,Reliance Energy,1623.6
December,Gurgaon,Orient Green,890.56
July,Gurgaon,Orient Green,5108.4
December,Gurgaon,Indowind Energy,1122.88
September,Gurgaon,Adani Power Ltd.,1378.08
September,Gurgaon,Indowind Energy,1858.56
February,Gurgaon,Orient Green,989.12
March,Gurgaon,Orient Green,1157.2
March,Gurgaon,Orient Green,1278.2
July,Gurgaon,Tata Power Company Ltd.,4111.8
September,Gurgaon,Adani Power Ltd.,1655.28
July,Gurgaon,Reliance Energy,3352.8
December,Gurgaon,Tata Power Company Ltd.,721.6
March,Gurgaon,Reliance Energy,943.8
September,Gurgaon,Orient Green,2067.12
September,Gurgaon,Orient Green,1642.08
January,Gurgaon,Reliance Energy,674.08
April,Gurgaon,Adani Power Ltd.,2214.3
March,Gurgaon,Indowind Energy,715.0
September,Gurgaon,Adani Power Ltd.,1267.2
May,Gurgaon,Reliance Energy,2926.0
July,Gurgaon,Indowind Energy,4474.8
March,Gurgaon,Tata Power Company Ltd.,1133.0
December,Gurgaon,Indowind Energy,1066.56
February,Gurgaon,Orient Green,1080.64
February,Gurgaon,Adani Power Ltd.,799.04
October,Gurgaon,Adani Power Ltd.,1102.2
July,Gurgaon,Reliance Energy,4573.8
October,Gurgaon,Tata Power Company Ltd.,1606.0
April,Gurgaon,Orient Green,2663.1
February,Gurgaon,Adani Power Ltd.,906.4
August,Gurgaon,Adani Power Ltd.,1686.3
July,Gurgaon,Orient Green,3220.8
December,Gurgaon,Indowind Energy,969.76
April,Gurgaon,Indowind Energy,970.2
June,Gurgaon,Adani Power Ltd.,4547.4
October,Gurgaon,Adani Power Ltd.,1126.4
March,Gurgaon,Indowind Energy,1727.0
January,Gurgaon,Reliance Energy,1408.0
September,Gurgaon,Orient Green,1293.6
February,Gurgaon,Reliance Energy,630.08
July,Gurgaon,Tata Power Company Ltd.,4719.0
January,Gurgaon,Orient Green,929.28
April,Gurgaon,Reliance Energy,1818.3
August,Gurgaon,Reliance Energy,2329.8
May,Gurgaon,Tata Power Company Ltd.,2855.6
April,Gurgaon,Adani Power Ltd.,1818.3
June,Gurgaon,Tata Power Company Ltd.,3834.6
August,Gurgaon,Adani Power Ltd.,1646.7
August,Gurgaon,Adani Power Ltd.,2326.5
March,Gurgaon,Reliance Energy,1502.6
April,Gurgaon,Tata Power Company Ltd.,2069.1
May,Gurgaon,Reliance Energy,2398.0
October,Gurgaon,Orient Green,1130.8
December,Gurgaon,Tata Power Company Ltd.,953.92
October,Gurgaon,Indowind Energy,1251.8
June,Gurgaon,Tata Power Company Ltd.,4118.4
June,Gurgaon,Orient Green,2442.0
November,Gurgaon,Tata Power Company Ltd.,1085.92
October,Gurgaon,Adani Power Ltd.,996.6
April,Gurgaon,Adani Power Ltd.,1491.6
October,Gurgaon,Adani Power Ltd.,1003.2
October,Gurgaon,Reliance Energy,800.8
April,Gurgaon,Tata Power Company Ltd.,1329.9
February,Gurgaon,Adani Power Ltd.,758.56
May,Gurgaon,Reliance Energy,1377.2
September,Gurgaon,Reliance Energy,1211.76
April,Gurgaon,Adani Power Ltd.,1359.6
December,Gurgaon,Reliance Energy,777.92
November,Gurgaon,Orient Green,888.8
April,Gurgaon,Indowind Energy,1557.6
February,Gurgaon,Indowind Energy,897.6
August,Gurgaon,Indowind Energy,2009.7
February,Gurgaon,Reliance Energy,941.6
May,Gurgaon,Adani Power Ltd.,3084.4
January,Gurgaon,Tata Power Company Ltd.,1124.64
May,Gurgaon,Indowind Energy,2257.2
August,Gurgaon,Adani Power Ltd.,1316.7
June,Gurgaon,Orient Green,3115.2
April,Gurgaon,Tata Power Company Ltd.,1940.4
February,Gurgaon,Reliance Energy,610.72
August,Gurgaon,Orient Green,1854.6
June,Gurgaon,Reliance Energy,2349.6
May,Gurgaon,Orient Green,2587.2
October,Gurgaon,Indowind Energy,1339.8
February,Gurgaon,Orient Green,348.48
January,Gurgaon,Adani Power Ltd.,839.52
